text,annotation task,number of annotations,annotations,annotators,lang,hard_label,split,soft_label.0,soft_label.1,other_info.domain
I don't usually post stuff that isn't art or gamedev related but honestly I can't just stay silent on this. Watching footage of how America is handling the protests right now is legitimately disgusting and reading defenses of the cops on Twitter is disgusting. #BlackLivesMatter,offensiveness detection,5,"0,0,0,0,1","Ann632,Ann138,Ann279,Ann274,Ann681",en,0,dev,0.8,0.2,BLM
"""Go Dr. Drew!!!  """"The Press NEEDS to Shut UP"""".""",offensiveness detection,5,"1,0,1,1,1","Ann57,Ann188,Ann663,Ann779,Ann791",en,1,dev,0.2,0.8,Covid-19
My pussy will never be this good.,offensiveness detection,5,"1,1,1,1,1","Ann200,Ann344,Ann169,Ann561,Ann390",en,1,dev,0.0,1.0,Covid-19
"""<user> There is not an """"outbreak""""... there is a genocide. There are 150 confirmed; 11 dead, almost 100 suspected cases hospitalized; more than 1,000 suspected cases at home. This is a Black town of 75K people (150K in metro area) with 33% poverty rate. <url>",offensiveness detection,5,"1,1,1,1,0","Ann402,Ann64,Ann369,Ann344,Ann768",en,1,dev,0.2,0.8,Covid-19
<user> <user> <user> If Joe caught Covid - he'd be worm food by Halloween.,offensiveness detection,5,"0,0,0,0,0","Ann334,Ann751,Ann581,Ann34,Ann69",en,0,dev,1.0,0.0,Covid-19
"<user> Sometimes Derek Chauvin was so not-fearing-for-his-life, he put his hand in his pocket. He looks almost bored. Wearing a bodycam, he suffocated George Floyd to death, surrounded by citizens with cellphone cameras begging 1 of 4 LEOs to stop a murder. Cannot be his 1st time.",offensiveness detection,5,"0,1,0,0,0","Ann343,Ann373,Ann513,Ann209,Ann270",en,0,dev,0.8,0.2,BLM
You watching this you <user> assholes???,offensiveness detection,5,"1,1,1,1,1","Ann306,Ann443,Ann338,Ann328,Ann708",en,1,dev,0.0,1.0,BLM
"Anyone cut someone out of their life this past month bc of racist views?  For me it was a sister who forgot we are Salvadoran, my wife is Puerto Rican, my FIL is black, &amp; my best friend is Phillipino  Of course, I’m not listening &amp; don’t understand...  #BLM #BlackLivesMatter",offensiveness detection,5,"0,0,0,0,0","Ann13,Ann117,Ann586,Ann428,Ann513",en,0,dev,1.0,0.0,BLM
FU Joe.,offensiveness detection,5,"1,1,0,1,0","Ann185,Ann582,Ann514,Ann779,Ann350",en,1,dev,0.4,0.6,Covid-19
#OpDeathEaters <user> <user> .<user> Ceo  .<user> is named in Epstein’s little black book. #Anonymous <url>,offensiveness detection,5,"0,0,0,0,0","Ann632,Ann559,Ann225,Ann507,Ann736",en,0,dev,1.0,0.0,BLM
<user> just #pride abs #blacklivesmatter,offensiveness detection,5,"0,0,0,0,0","Ann279,Ann237,Ann582,Ann274,Ann701",en,0,dev,1.0,0.0,BLM
"Complete wrapup of what happened last night in Detroit, when a wave of new people showed up and things got violent: <url> ",offensiveness detection,5,"0,0,0,0,0","Ann274,Ann448,Ann535,Ann443,Ann245",en,0,dev,1.0,0.0,BLM
"<user> <user> <user> all antifa is is being anti fascism, anti racism, etc. Anybody who isn’t a piece of shit supports Antifa. It isn’t even an organization.",offensiveness detection,5,"1,1,0,1,1","Ann779,Ann811,Ann573,Ann423,Ann588",en,1,dev,0.2,0.8,Elections2020
<user> Is offering Covid tests tomorrow.  Results are not immediate though.,offensiveness detection,5,"0,0,0,0,0","Ann779,Ann200,Ann350,Ann514,Ann161",en,0,dev,1.0,0.0,Covid-19
<user> Just like the ended Isis,offensiveness detection,5,"0,0,0,0,0","Ann739,Ann576,Ann539,Ann164,Ann779",en,0,dev,1.0,0.0,Elections2020
<user> <user> you got DESTROYED last night bro 🤣 stutter stand had no absolute response for Trumps remarks.. you got simply DESTROYED and there is no way your gonna be POTUS,offensiveness detection,5,"1,0,1,0,0","Ann85,Ann517,Ann149,Ann104,Ann774",en,0,dev,0.6,0.4,Elections2020
Have Trump’s Coronavirus Conspiracies Doomed His Supporters?   Vanity Fair <url> His lies will kill off his base!,offensiveness detection,5,"1,0,0,0,0","Ann768,Ann266,Ann169,Ann118,Ann422",en,0,dev,0.8,0.2,Covid-19
Can he live??? It's only CHALK for Pete's sake! #blacklivesmatter.,offensiveness detection,5,"0,0,1,1,0","Ann126,Ann138,Ann814,Ann27,Ann274",en,0,dev,0.6,0.4,BLM
<user> <user> <user> <user> <user> Even his haters disagree with you.<url>,offensiveness detection,5,"0,1,0,0,0","Ann779,Ann64,Ann513,Ann721,Ann402",en,0,dev,0.8,0.2,Elections2020
"<user> <user> <user> <user> Because this is the way the Democrat party is now, it’s OK to riot, burn buildings down, assault people and now be rude and tell a sitting president that he’s a clown a racist and shut up. The reason why Trump will be reelected.",offensiveness detection,5,"1,0,0,0,0","Ann779,Ann517,Ann616,Ann188,Ann656",en,0,dev,0.8,0.2,Elections2020
"<user> <user> <user> <user> Trump #MORONavirus will weaponize coronavirus to 🚨HIDE $15BIL THEFT from Public Health 🚨ENGINEER CHAOS: insider trading  GOP will WANK, cover up, stoke racism on Social Media, cry hoax at protective DEM, worsen outbreak, impose Xi martial rule  EXPOSE REAL THREAT #TrumpsVirus! <url>",offensiveness detection,5,"0,1,0,1,1","Ann200,Ann768,Ann582,Ann681,Ann266",en,1,dev,0.4,0.6,Covid-19
this never stops being true #Elections2020 <url>,offensiveness detection,5,"0,0,0,0,0","Ann517,Ann779,Ann223,Ann53,Ann801",en,0,dev,1.0,0.0,Elections2020
"""Hey Dukey lover! the """"fighting fifth"""" sounds like your drunk &amp; talking to your rowdy bottle of scotch. Only a #Dotard would think that sounds normal. Also, quit lying about AZ.""",offensiveness detection,5,"0,1,1,0,0","Ann514,Ann240,Ann610,Ann751,Ann477",en,0,dev,0.6,0.4,Covid-19
hire an anonymous troll army to discredit the opppositon like a normal person,offensiveness detection,5,"0,1,0,0,1","Ann306,Ann501,Ann236,Ann328,Ann708",en,0,dev,0.6,0.4,BLM
It is projected that former <user> wins MY STATE of Wisconsin!!!  He needs just 2 states 2 secure the Presidency 😁😁😁😁😁  #KickHisAssJoe <url>,offensiveness detection,5,"0,0,1,0,1","Ann779,Ann149,Ann88,Ann616,Ann811",en,0,dev,0.6,0.4,Elections2020
Customers that took misleading COVID-19 test at now-closed Houston area clinic upset with ‘scheme’  <url>,offensiveness detection,5,"0,0,0,0,0","Ann783,Ann85,Ann779,Ann90,Ann193",en,0,dev,1.0,0.0,Covid-19
"<user> Hey <user> should have said #ShutUpNincompoop instead, but #shutupman was good enough",offensiveness detection,5,"0,1,1,0,1","Ann616,Ann60,Ann164,Ann719,Ann82",en,1,dev,0.4,0.6,Elections2020
"trump and his Middle East thugs planning a party at the White House, or shall I say the COVID HOUSE.",offensiveness detection,5,"0,1,1,1,0","Ann200,Ann669,Ann136,Ann610,Ann619",en,1,dev,0.4,0.6,Covid-19
ยังกะ the walking dead #ไวรัสโคโรน่า <url>,offensiveness detection,5,"0,0,0,0,1","Ann523,Ann402,Ann779,Ann334,Ann500",en,0,dev,0.8,0.2,Covid-19
#Greta ↙️ #ClimateAction ↙️ #StayHome ↙️ #BlackLivesMatter   How about hashtag fucken think for yourselves,offensiveness detection,5,"1,1,1,1,0","Ann163,Ann443,Ann338,Ann685,Ann708",en,1,dev,0.2,0.8,BLM
That's shameful shm,offensiveness detection,5,"0,0,0,0,0","Ann274,Ann292,Ann306,Ann474,Ann419",en,0,dev,1.0,0.0,BLM
"<user> You turned a blind eye with Benghazi, u turned a blind eye in the Uranium scandal, u do NOT back our men in blue, no respect 4 r Military, no respect 4 the American People who u  fail 2 protect. Your immigration views protect illegal aliens, &amp; spit in the America. People’s faces",offensiveness detection,5,"1,1,1,1,0","Ann254,Ann682,Ann573,Ann60,Ann415",en,1,dev,0.2,0.8,Elections2020
"It is rather extraordinary to see this, but it seems like shaming a major institution (even a twitterstorm) might actually work sometimes.",offensiveness detection,5,"0,0,0,0,0","Ann200,Ann232,Ann515,Ann369,Ann466",en,0,dev,1.0,0.0,Covid-19
<user> <user> <user> <user> <user> <user> There are horrible things in this world that affect ppl daily.We're not doing a very good job about following the science right now about who is at most risk of the affects of this though.I hope your friend makes a full recovery as Healthcare workers are obviously vulnerable.,offensiveness detection,5,"0,0,0,1,0","Ann134,Ann425,Ann779,Ann793,Ann656",en,0,dev,0.8,0.2,Elections2020
We’d protest this 😂,offensiveness detection,5,"0,0,0,0,0","Ann200,Ann390,Ann768,Ann136,Ann161",en,0,dev,1.0,0.0,Covid-19
<user> <user> 226 thousand Americans are dead because of Trump. He has no plan.  He is an accused rapist sexist bigot liar cheater racist cheater on all his wives his companies go bankrupt snd the USA is a mess. We need new leadership. VOTE BIDEN,offensiveness detection,5,"1,1,1,1,1","Ann517,Ann779,Ann518,Ann173,Ann801",en,1,dev,0.0,1.0,Elections2020
"That’s gotta be an all time flex. ""Yeah I got the corona virus as a baby. Beat it, no big deal. """,offensiveness detection,5,"0,1,0,0,0","Ann768,Ann681,Ann266,Ann88,Ann712",en,0,dev,0.8,0.2,Covid-19
<user> Maybe they were murdered by emf weapons and were not killed by Covid 19. 🤔,offensiveness detection,5,"0,0,1,0,1","Ann475,Ann741,Ann763,Ann768,Ann344",en,0,dev,0.6,0.4,Covid-19
<user> <user> <user> Their #FakeNewsMedia progaganda arm of the Socialist Democrats  along with the Alt-Right media are spreading the coronavirus FUD BS like hot butter on bread.,offensiveness detection,5,"1,1,0,1,0","Ann210,Ann344,Ann578,Ann779,Ann514",en,1,dev,0.4,0.6,Covid-19
"RAISE THE FUCKING DEGREE. Derek chauvin knew what he was doing this was not an accident. You don’t just accidentally kneel on someone’s throat for several minutes. Derek chauvin murdered George Floyd, he should be charged with first degree murded. #raisethedegree #BlackLivesMater",offensiveness detection,5,"0,1,1,1,1","Ann247,Ann237,Ann443,Ann338,Ann501",en,1,dev,0.2,0.8,BLM
and this isn't about justice for George Floyd... <url> ,offensiveness detection,5,"0,0,0,0,0","Ann274,Ann408,Ann443,Ann229,Ann708",en,0,dev,1.0,0.0,BLM
"<user> <user> <user> <user> <user> <user> <user> <user> Listen fool, Isis is dessimated  and Albagdaddy is dead !! The economy  was top notch til the China virus  i could go on but why bother !!!",offensiveness detection,5,"1,1,1,1,1","Ann425,Ann188,Ann285,Ann379,Ann149",en,1,dev,0.0,1.0,Elections2020
<user> <user> <user> <user> <user> You forgot to mention Trump who kept ignoring it and even made fun of coronavirus for months and now we are paying for his attitude.,offensiveness detection,5,"0,1,0,0,0","Ann200,Ann240,Ann514,Ann265,Ann96",en,0,dev,0.8,0.2,Covid-19
Tweedly-dee and Tweedly-dumb 🤡 <url>,offensiveness detection,5,"1,0,0,1,0","Ann200,Ann768,Ann681,Ann811,Ann240",en,0,dev,0.6,0.4,Covid-19
If they cancel sxsw this year 2020 officially sucks.,offensiveness detection,5,"0,0,0,0,0","Ann200,Ann240,Ann642,Ann515,Ann136",en,0,dev,1.0,0.0,Covid-19
<user> You are going to look like an absolute idiot when your conspiracy is fake news! Like you obviously aren’t already! You are mad that <user> held is own! Go worry about trumps #standdownandstandby fuck up you asshole!,offensiveness detection,5,"1,1,1,1,1","Ann511,Ann517,Ann377,Ann81,Ann779",en,1,dev,0.0,1.0,Elections2020
"Stay safe my friends in america. these are dark days but you can get through it. remember, vote, defend our brothers and sisters, protect our brothers and sisters. let your voices be heard and stand up for whats right. Fuck Trump. #BlackLivesMatter",offensiveness detection,5,"1,1,1,1,1","Ann294,Ann163,Ann305,Ann245,Ann328",en,1,dev,0.0,1.0,BLM
"<user> Untrue. Despite Trump’s incompetence and lies, it’s ludicrous to suggest that all of the COVID-19 deaths are on Trump.   When did you decide to start lying like Trumpers?",offensiveness detection,5,"0,0,1,0,1","Ann582,Ann517,Ann386,Ann718,Ann500",en,0,dev,0.6,0.4,Covid-19
"<user> #trumpsicko  225,985 Americans dead, 225,985 Americans dead, 225,985 Americans dead, 225,985 Americans dead, 225,985 Americans dead, 225,985 Americans dead, 225,985 Americans dead, 225,985 Americans dead, 225,985 Americans dead, 225,985 Americans dead, 225,985 Americans dead",offensiveness detection,5,"0,0,0,0,0","Ann570,Ann357,Ann53,Ann721,Ann395",en,0,dev,1.0,0.0,Elections2020
Breaking: fat mongoloid with purple hair cries because she felt justice but I guess #BlackLivesMatter ?,offensiveness detection,5,"1,0,1,1,0","Ann305,Ann126,Ann513,Ann177,Ann701",en,1,dev,0.4,0.6,BLM
"Make sure the tattoo says ""loser""right across your forehead...or ""covid’s girl.""",offensiveness detection,5,"0,1,1,1,1","Ann619,Ann811,Ann768,Ann390,Ann247",en,1,dev,0.2,0.8,Covid-19
#Justice shouldn't be demanded 😫😫😫😫 #BlackLivesMatter   Normalize doing what's right,offensiveness detection,5,"0,0,0,0,0","Ann149,Ann443,Ann708,Ann373,Ann621",en,0,dev,1.0,0.0,BLM
why is everyone just standing there? HELP HIM,offensiveness detection,5,"0,0,0,0,0","Ann501,Ann149,Ann443,Ann338,Ann252",en,0,dev,1.0,0.0,BLM
<user> Nope he has nothing just like his brain. He’s just telling lies telling people to drink the Kool-Aid. Unfortunately no matter what he says it’s a pathetic thing I’m embarrassed for the United States unbelievable what one man has created and damaged.,offensiveness detection,5,"1,0,1,0,0","Ann42,Ann169,Ann779,Ann656,Ann573",en,0,dev,0.6,0.4,Elections2020
Just astonishing the exact sameness of human reactions and behavior during AIDS vs COVID19.  Humans are so f-ing predictable.  And we haven't learned a damn thing.,offensiveness detection,5,"1,1,0,1,0","Ann779,Ann514,Ann240,Ann358,Ann751",en,1,dev,0.4,0.6,Covid-19
"We only have one chance, and that is November 3. God help us.",offensiveness detection,5,"0,0,0,0,0","Ann582,Ann632,Ann779,Ann638,Ann640",en,0,dev,1.0,0.0,Covid-19
"<user> Bullshit , YOU are behind all this chaos and anarchy , Trump could shut that crap down in 30 minutes , BUT YOU WON'T LET HIM ..... all you do is attack him constantly for FOUR YEARS ... You are sick",offensiveness detection,5,"1,1,1,0,1","Ann238,Ann811,Ann49,Ann591,Ann779",en,1,dev,0.2,0.8,Elections2020
This Kiss-up to China Idiot needs to go!,offensiveness detection,5,"1,0,1,1,1","Ann232,Ann555,Ann453,Ann33,Ann779",en,1,dev,0.2,0.8,Covid-19
"Israel’s COVID-19 tragedy: How hubris, hasbara and Netanyahu downed the Start-Up Nation - Israel News - <url> <url>",offensiveness detection,5,"0,0,0,0,0","Ann200,Ann768,Ann232,Ann811,Ann763",en,0,dev,1.0,0.0,Covid-19
"This is Anarchy, thugs, anti American misfits funded by the left and listen to fake news support this destroying of our cities and hard working people’s property while The tragic death of George Floyd’s and grief of his family are interrupted by these haters.",offensiveness detection,5,"0,0,1,1,1","Ann632,Ann731,Ann6,Ann274,Ann735",en,1,dev,0.4,0.6,BLM
I don’t miss the neoliberalism. I do miss being spoken to like an adult.,offensiveness detection,5,"0,0,0,0,0","Ann779,Ann514,Ann344,Ann558,Ann293",en,0,dev,1.0,0.0,Covid-19
"<user> <user> <user> <user> Ok and George Floyd’s family can’t get a loan and bring him back. So what are you saying? I never said it was right, I explained how it happened. It’s going to be hard to see through it all so I won’t bother",offensiveness detection,5,"0,0,0,0,0","Ann127,Ann30,Ann18,Ann29,Ann734",en,0,dev,1.0,0.0,BLM
"<user> Say what you will about them using deadly force, but for Christ sakes the man was charging them with a knife and has a criminal record almost as bad as yours is, no need to make him a martyr",offensiveness detection,5,"1,1,1,0,0","Ann376,Ann546,Ann286,Ann424,Ann457",en,1,dev,0.4,0.6,Elections2020
"<user> <user> <user> <user> This has nothing to do with George Floyd. You get your head out of your ass and pay attention to the protesters  not the rioters, right now they are trying to protect police and secret service. The protesters are not looking to destroy their own cities.",offensiveness detection,5,"0,1,0,1,1","Ann13,Ann608,Ann564,Ann241,Ann456",en,1,dev,0.4,0.6,BLM
<user> <user> <user> Fuck no and FUCK trump,offensiveness detection,5,"1,1,1,1,1","Ann779,Ann408,Ann448,Ann149,Ann229",en,1,dev,0.0,1.0,Elections2020
<user> <user> <user> <user> <user> <user> <user> <user>   the guy you have all revered  this show that you care nothing for this white victim ??? that you care nothing for Americans  only about racial divide and control over our lives,offensiveness detection,5,"0,0,1,0,0","Ann632,Ann373,Ann233,Ann209,Ann681",en,0,dev,0.8,0.2,BLM
They would have simply painted him black ..,offensiveness detection,5,"1,1,0,0,1","Ann689,Ann163,Ann245,Ann274,Ann328",en,1,dev,0.4,0.6,BLM
"Just got yelled at cause I said I’m not siding with the cops side or George Floyd’s side. Like damn dude I didn’t know I was forced to pick, I’d rather just stay neutral in stuff like that but even that got me yelled at and I got reported to my manager lmao",offensiveness detection,5,"0,0,0,1,1","Ann163,Ann443,Ann501,Ann328,Ann708",en,0,dev,0.6,0.4,BLM
HE HAD A BLACK GIRLFRIEND!!!! WAKE. UP. PEOPLE!! #DonaldTrump #anonymous #redpill #WWG1WGA #WWG1WGAWORLDWIDE #pizzagate #pedogate #Obamagate #lolitagate #lolitaexpress #blm #blacklivesmatter <url>,offensiveness detection,5,"0,0,1,0,0","Ann138,Ann29,Ann77,Ann274,Ann292",en,0,dev,0.8,0.2,BLM
Panthers activate 2 offensive linemen from reserve/COVID-19 list <url>,offensiveness detection,5,"0,0,0,0,0","Ann200,Ann240,Ann352,Ann514,Ann161",en,0,dev,1.0,0.0,Covid-19
"""Get the mouse out of your pocket. You are not """"WE"""" <url>",offensiveness detection,5,"0,0,0,0,0","Ann768,Ann266,Ann390,Ann169,Ann422",en,0,dev,1.0,0.0,Covid-19
<user> More...  Raping Thieving Pedophiling Treasoning Daughter sexing Racisming  Sexisming  Etc Etc Etc  #MAGA,offensiveness detection,5,"1,1,1,1,1","Ann739,Ann576,Ann192,Ann379,Ann730",en,1,dev,0.0,1.0,Elections2020
<user> <user> <user> <user> <user> because most democrats actually self quarantine and know that the pandemic isnt something to joke abt,offensiveness detection,5,"0,0,0,0,0","Ann188,Ann517,Ann8,Ann144,Ann141",en,0,dev,1.0,0.0,Elections2020
These #protests aren’t about #GeorgeFloyd. Many have used this man’s murder to wage a war on #America.   To the criminals out there trashing our country? The hate in your veins is comparable to the hate in  Chauvin’s veins. You’re no better than he is.  #protests2020 #HateCrime,offensiveness detection,5,"0,0,0,0,0","Ann423,Ann598,Ann428,Ann29,Ann77",en,0,dev,1.0,0.0,BLM
"see stuff like this make me mad cause why should white people get more justice in america when us black people the one who made america! I say burn all them white buisness down ! , they didnt work for they stuff we did !",offensiveness detection,5,"0,1,1,1,1","Ann306,Ann812,Ann30,Ann209,Ann734",en,1,dev,0.2,0.8,BLM
<user> Damn I done got high and forgot Covid still out here 🤦🏾‍♂️. You right she need to be home,offensiveness detection,5,"1,0,1,0,0","Ann779,Ann741,Ann435,Ann135,Ann194",en,0,dev,0.6,0.4,Covid-19
"<user> About time. People should not be fired, for being who they want to be, in country always yelling about ""liberty."" #BlackLivesMatter 🇺🇸 #mondaythoughts",offensiveness detection,5,"0,0,0,0,0","Ann419,Ann121,Ann791,Ann755,Ann474",en,0,dev,1.0,0.0,BLM
"<user> George Soros liked George Floyd. Blame him, not us whites!",offensiveness detection,5,"0,0,0,0,1","Ann443,Ann513,Ann338,Ann298,Ann270",en,0,dev,0.8,0.2,BLM
<user> RAISE YOUR HAND if you would like to see <user> moderate the next presidential debate between <user> and  <user> !!!  #ShitShowPresidency #RacistTrump #Debates2020  <url>,offensiveness detection,5,"1,1,1,1,1","Ann779,Ann517,Ann546,Ann573,Ann763",en,1,dev,0.0,1.0,Elections2020
"<user> <user> YOUR TRULY IGNORANT, donald trump said it WORD FOR WORD. mocking my grandfather and MANY other REAL PATRIOTS who arent afraid to defend there country. when your bunker bitch boy president voided from ever even getting drafted because hes weak. Not brave , not smart NOT STRONG.",offensiveness detection,5,"1,1,1,1,1","Ann200,Ann42,Ann149,Ann779,Ann144",en,1,dev,0.0,1.0,Elections2020
"Question for white people in LA and across America - If you’re not protesting in peace for Black Lives Matter and George Floyd, what the fuck are you doing here? Destroying our community, preying on our sorrow, and looting our businesses. Go the fuck home and play Call of Duty.",offensiveness detection,5,"1,1,1,1,1","Ann149,Ann428,Ann708,Ann755,Ann616",en,1,dev,0.0,1.0,BLM
<user> <user> Communism isn’t liberty or home of the brave!,offensiveness detection,5,"0,0,0,0,0","Ann518,Ann88,Ann508,Ann601,Ann596",en,0,dev,1.0,0.0,Elections2020
What an absolutely embarrassing excuse of a President and a Man.,offensiveness detection,5,"1,1,1,1,1","Ann582,Ann715,Ann402,Ann293,Ann678",en,1,dev,0.0,1.0,Covid-19
<user> <user> <user> <user> <user> <user> I dont worship anyone! I just stand by the truth.,offensiveness detection,5,"0,0,0,1,0","Ann779,Ann517,Ann30,Ann511,Ann20",en,0,dev,0.8,0.2,Elections2020
"<user> So you’re telling me that this guy needed 7 cops to strap him into that gurney for a broken leg, but the several cops that were around George floyd when he was being MURDERED couldn’t give his CPR or try to save his life by stepping in?? FUCK 12",offensiveness detection,5,"1,1,1,1,1","Ann794,Ann459,Ann501,Ann708,Ann456",en,1,dev,0.0,1.0,BLM
Fuck this asshole🖕🏻,offensiveness detection,5,"1,1,1,1,1","Ann779,Ann408,Ann200,Ann768,Ann514",en,1,dev,0.0,1.0,Covid-19
<user> <user> <user> Please stop this. Encourage people to VOTE. Klobachar isn’t on the ballot because nobody voted for her. The only way to get rid of this conman is to encourage people to VOTE for the democratic candidate. Or we get more trump.,offensiveness detection,5,"0,0,0,0,0","Ann425,Ann55,Ann286,Ann779,Ann573",en,0,dev,1.0,0.0,Elections2020
"<user> <user> ""Manipulated media"" RD, you mean that wasn’t Trumps real head? Nothing gets by you, no wonder you consistently are awarded Trump mindless minion of the month.",offensiveness detection,5,"1,1,1,1,1","Ann779,Ann517,Ann573,Ann763,Ann463",en,1,dev,0.0,1.0,Elections2020
"Was this officer in fear of his life?, yes many times in this video, this criminal actually attacked this officer with intent to do bodily harm and with a vehicle,  black men has been shot for raising their hands with a cell phone",offensiveness detection,5,"0,0,1,0,0","Ann294,Ann422,Ann129,Ann589,Ann245",en,0,dev,0.8,0.2,BLM
"""""""Safely delivering Covid-19 vaccines will be the mission of the century for the global air cargo industry,"""" said IATA's director general and CEO, Alexandre de Juniac, in a statement. <url>",offensiveness detection,5,"0,0,0,0,1","Ann514,Ann266,Ann682,Ann422,Ann662",en,0,dev,0.8,0.2,Covid-19
Vote a straight Blue ticket let's get rid of the white supremacist in DC. Let's win 60 Senate races.  <user> Gang of Putin <user> <user> <user> <user> <user> <user> <user> <user> <user> #GoJoe,offensiveness detection,5,"0,0,0,1,0","Ann546,Ann42,Ann345,Ann310,Ann627",en,0,dev,0.8,0.2,Elections2020
<user> Is he gonna eat that thing to show coronavirus is not spread that way?,offensiveness detection,5,"0,0,0,0,0","Ann514,Ann344,Ann783,Ann558,Ann777",en,0,dev,1.0,0.0,Covid-19
"<user> Fix your wire, it's showing! Pedophile!",offensiveness detection,5,"1,1,1,1,1","Ann546,Ann517,Ann149,Ann627,Ann332",en,1,dev,0.0,1.0,Elections2020
<user> <user> <user> <user> <user> You watch the wrong news outlets therefore you are totally misinformed. Open your eyes and your ass will follow! Your tweet read like that of a racist bigot!,offensiveness detection,5,"1,1,1,1,1","Ann773,Ann441,Ann517,Ann460,Ann344",en,1,dev,0.0,1.0,Elections2020
crusty old bigots crying that their last bastion from white guilt has been ruined lmaooooooooi,offensiveness detection,5,"0,0,0,0,1","Ann305,Ann156,Ann245,Ann274,Ann628",en,0,dev,0.8,0.2,BLM
"Kyle talked again tonight about social distancing during #COVIDー19, and Denver's current approach to public events, like the St. Patrick's Day parade. And one person wrote in with a complaint about that. <url>",offensiveness detection,5,"0,0,0,0,0","Ann57,Ann266,Ann663,Ann779,Ann791",en,0,dev,1.0,0.0,Covid-19
"I’ve heard the same thing but the Covid test gives false positives too. And some people are asymptomatic and will always test negative. So you’re damned if you do, damned if you don’t.",offensiveness detection,5,"0,0,0,0,0","Ann779,Ann200,Ann266,Ann57,Ann453",en,0,dev,1.0,0.0,Covid-19
"""The elite liberal talking heads class where literally saying """"I want to compromise"""" is considered hardball. Just #Guillotine all these motherfuckers.  <url>",offensiveness detection,5,"1,1,1,0,1","Ann517,Ann64,Ann273,Ann741,Ann80",en,1,dev,0.2,0.8,Covid-19
<user> <user> yo cant do it without cry AHHAHAHAHAHAH,offensiveness detection,5,"0,0,0,0,0","Ann517,Ann779,Ann153,Ann53,Ann721",en,0,dev,1.0,0.0,Elections2020
remember when you raped that thirteen year old girl in 1994 and threatened to hurt her if she told anybody? #epstein #TrumpEpstein2020,offensiveness detection,5,"1,1,0,1,1","Ann305,Ann30,Ann419,Ann129,Ann274",en,1,dev,0.2,0.8,BLM
"#Trump Lashes Out At #Female Reporter’s ""Nasty Question"" After She Calls Him Out For His #Pandemic Response  #coronavirus #RemoveTrump #TrumpFascist #TrumpTraitor #TrumpsGuilty #donaldtrump #TrumpRapist #TrumpLies #TrumpResigns #Russia <user>    <url>",offensiveness detection,5,"0,1,1,0,1","Ann295,Ann64,Ann681,Ann63,Ann768",en,1,dev,0.4,0.6,Covid-19
<user> <user> morally weak how? trump couldnt even denounce white supremacy and you are worried about antifa and those that act based on the right reasons in the WRONG ways. joe said that the violence is WRONG but antifa in general is not bad. now the kkk?,offensiveness detection,5,"0,0,1,1,1","Ann52,Ann517,Ann60,Ann721,Ann779",en,1,dev,0.4,0.6,Elections2020
"""<user> <user> Pre-save my new single """"Pop U"""" on Spotify: Pop U Da Nigga You Love 2 Hate💯  #hiphop  #PopU #Kingpin #leader #gang #quarantine  #COVID19  #coronavirus #distancedance  #hoodrich #ghetto #cloutgang   #pimp  #thug #Nigga #Dubstep <url> (powered by <user>",offensiveness detection,5,"0,1,1,1,0","Ann185,Ann582,Ann681,Ann169,Ann768",en,1,dev,0.4,0.6,Covid-19
Go <user> someone finally told him to shut up to to his face #Election2020 <user>,offensiveness detection,5,"0,0,0,1,0","Ann546,Ann417,Ann573,Ann60,Ann415",en,0,dev,0.8,0.2,Elections2020
"<user> <user> Everyone in the US is terrified of coronavirus- it’s impacting our lives, families, jobs &amp; plans. My hometown of Nashville was devastated this week. People died &amp; people lost everything. And you’re ... spending tax payer dollars on a tennis pavilion? Whatever that is...",offensiveness detection,5,"1,0,1,0,0","Ann344,Ann811,Ann768,Ann390,Ann247",en,0,dev,0.6,0.4,Covid-19
Y'all know why we're never going to phase 3? Because NC has too many anti-maskers. This is the right call by <user> Just wear a damn mask so our hospitals can stop being overwhelmed and then maybe we can move forward. <url>,offensiveness detection,5,"0,0,0,0,0","Ann511,Ann477,Ann90,Ann779,Ann193",en,0,dev,1.0,0.0,Covid-19
"I'm sorry, what?!?",offensiveness detection,5,"0,0,0,0,0","Ann741,Ann435,Ann453,Ann581,Ann640",en,0,dev,1.0,0.0,Covid-19
<user> Great  COVID19 survives up to nine days on surfaces  Your shoes are surfaces Everything carriers sneeze &amp; cough drops to the ground where your shoes are  Dummies <url>,offensiveness detection,5,"0,1,1,1,0","Ann682,Ann344,Ann779,Ann767,Ann86",en,1,dev,0.4,0.6,Covid-19
<user> <user> <user> Fox news is the truth.  Wow.  Doesnt take a rocket scientist to figure this shit out. Common sense. Dude,offensiveness detection,5,"1,0,1,0,1","Ann779,Ann546,Ann425,Ann721,Ann402",en,1,dev,0.4,0.6,Elections2020
<user> You will go down in history as the most corrupt crime family in the world!! Drop out and hang your head in shame!!,offensiveness detection,5,"1,1,1,1,1","Ann779,Ann149,Ann573,Ann415,Ann354",en,1,dev,0.0,1.0,Elections2020
"<user> <user> <user> ""Voter fraud is a myth"" Same people: ""Russia hacked the 2016 election!!!1""",offensiveness detection,5,"0,0,0,0,1","Ann779,Ann149,Ann517,Ann546,Ann379",en,0,dev,0.8,0.2,Elections2020
<user> You can't deport the COVID-19 virus. Your incompetence is killing Americans.,offensiveness detection,5,"1,0,0,0,1","Ann779,Ann200,Ann334,Ann232,Ann240",en,0,dev,0.6,0.4,Covid-19
